GenAspId;CultCultIdDi;CultInspArt;CultEdu;CultRecEcot;CultSpiReg;RegBioind;RegBiocont;RegPol;RegSeed;SupNutCy;SupSoIm;ProFF;ProWildF;ProBiomol;ProBiopro;ProBiom;ProBiomimi;DissVector;DissPest
1;0;0;3;2;0;0;1;0;1;3;2;3;3;0;1;2;2;0;2
2;3;1;2;3;1;1;1;0;1;3;2;3;3;2;1;1;0;0;1
3;1;0;1;1;0;2;0;0;1;3;2;1;3;0;0;0;1;1;1
4;1;0;1;1;0;2;0;0;1;3;2;1;3;0;0;0;1;1;1
5;3;3;3;3;2;0;0;0;0;1;2;3;3;1;3;3;2;0;2
6;2;3;3;3;2;3;0;3;0;0;1;0;0;0;0;1;3;0;1
7;3;3;3;3;2;3;0;0;1;3;3;0;2;0;0;2;2;0;1
8;1;1;1;1;1;2;1;0;0;2;2;0;2;1;1;3;2;0;3
9;0;0;3;2;0;0;0;0;1;3;2;3;3;0;1;2;1;0;1
10;2;0;3;2;0;0;1;0;0;3;3;2;3;0;1;2;0;0;0
11;3;3;2;3;3;0;2;0;0;1;1;0;0;0;0;1;2;0;0
12;3;3;3;3;3;2;0;3;0;0;1;0;0;0;0;1;3;0;1
13;0;2;3;1;0;1;0;1;0;3;3;2;3;0;1;3;2;1;1
14;2;2;3;2;1;0;0;0;1;3;2;2;2;0;0;2;0;0;2
15;3;3;3;3;1;2;1;3;0;0;0;3;0;0;3;2;0;0;0
16;0;1;3;3;0;0;0;0;0;3;3;3;1;1;1;3;0;0;2
17;1;0;2;1;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0
18;1;0;2;2;0;0;0;0;0;3;3;3;1;1;1;1;0;0;0
19;2;2;1;2;1;3;0;0;1;3;3;0;1;0;0;1;0;0;2
20;3;3;3;3;3;3;0;0;2;3;3;0;2;0;0;2;1;0;2
21;3;3;3;3;3;3;0;0;2;3;3;0;2;0;0;2;1;0;2
22;3;3;3;3;3;3;0;0;2;3;3;0;2;0;0;2;1;0;2
23;3;3;3;3;3;3;0;0;2;3;3;0;2;0;0;2;1;0;2
24;2;0;3;1;0;3;3;1;0;3;2;0;3;0;0;1;0;0;3
25;1;2;2;3;2;2;0;3;0;0;1;0;3;0;0;2;2;0;1
26;3;3;2;3;2;2;0;3;0;0;1;0;1;0;0;2;3;0;2
27;3;3;2;3;2;2;0;3;0;0;1;0;1;0;0;2;0;0;2
28;3;3;3;2;1;0;0;0;0;0;0;3;1;3;3;2;0;0;3
29;3;2;3;2;1;0;0;1;0;0;1;3;2;0;0;1;0;0;3
30;2;1;1;1;0;0;2;0;0;0;1;0;2;0;0;1;0;0;0
31;0;1;2;3;0;0;1;0;0;1;1;3;2;0;0;1;1;0;3
32;0;0;2;0;0;0;3;0;0;0;1;0;0;0;0;1;1;0;0
33;0;0;2;0;0;3;0;2;0;0;2;0;3;0;0;1;1;0;1
34;2;2;2;1;0;1;0;0;0;0;1;3;3;2;0;1;0;0;0
35;0;0;1;0;0;1;0;0;1;2;2;1;3;0;1;2;0;1;0
36;0;1;1;0;0;0;1;0;3;3;3;0;3;3;0;0;2;0;2
37;2;2;1;3;3;3;0;1;0;0;1;0;2;2;0;1;1;0;0
38;3;3;3;3;2;3;0;0;1;2;2;0;0;0;0;2;1;0;2
39;1;2;2;2;0;0;3;0;0;2;2;0;0;0;0;2;0;0;0
40;0;1;1;0;0;0;1;0;3;3;2;0;3;3;0;0;0;0;2
41;0;1;1;0;0;0;1;0;3;3;3;0;3;3;0;0;0;0;2
42;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
43;0;0;1;0;0;3;0;1;0;0;1;0;1;0;0;0;0;0;0
44;2;2;2;1;0;0;0;0;2;2;2;2;2;0;0;0;0;0;3
45;3;3;3;3;2;3;0;3;0;0;1;0;2;0;0;0;0;0;2
46;2;2;3;2;2;3;2;3;0;0;0;0;0;3;1;2;1;0;0
47;1;2;3;1;1;3;0;1;1;3;3;0;2;1;0;2;0;0;0
48;0;0;1;0;0;0;0;0;0;3;3;2;1;1;0;2;0;0;0
49;1;0;1;0;0;0;1;1;0;2;3;2;3;0;0;1;0;0;0
50;0;0;2;0;0;0;0;0;0;2;3;3;1;1;0;3;0;0;3
51;1;2;1;1;0;1;0;0;0;0;1;2;2;0;0;3;2;0;3
52;2;2;2;1;0;0;0;0;1;2;2;2;2;0;0;3;0;0;3
53;0;1;1;0;0;0;1;0;3;3;3;1;3;3;0;0;0;0;3
54;2;3;3;3;2;1;2;3;0;0;0;3;0;3;3;3;3;0;0
55;3;1;3;3;2;0;0;0;1;1;3;3;2;2;0;1;0;0;0
56;0;0;3;0;0;0;2;0;1;2;3;1;2;2;0;3;0;0;3
57;2;0;2;0;0;0;0;0;0;2;2;2;1;3;0;3;0;0;3
58;2;2;2;2;0;0;0;0;2;3;3;1;1;0;0;3;0;1;0
59;0;0;2;0;0;0;0;0;0;3;3;3;1;1;0;3;0;0;1
60;0;0;2;0;0;2;0;1;0;2;3;1;3;0;0;2;2;1;1
61;0;0;2;0;0;2;0;1;0;2;3;1;3;0;0;2;2;1;1
62;0;0;2;0;0;0;0;1;0;2;3;1;3;0;0;3;2;1;1
63;2;1;2;2;0;0;0;0;1;1;3;3;2;0;0;3;1;0;2
64;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0
65;0;0;1;1;0;2;0;1;0;0;1;1;2;0;0;0;0;0;1
66;0;0;1;1;0;2;0;0;0;0;1;1;3;0;0;2;0;0;1
67;0;1;1;1;0;0;1;0;3;3;3;1;3;0;0;0;0;0;3
68;2;1;2;1;0;2;1;0;1;1;2;3;3;0;0;0;0;0;3
69;0;0;1;1;0;1;0;2;0;0;0;1;3;0;0;0;2;1;0
70;0;0;1;1;0;0;0;0;0;0;2;1;3;0;0;0;0;0;1
71;2;1;2;1;0;1;0;0;0;1;2;3;3;0;0;0;0;0;3
72;1;1;2;1;0;1;1;0;2;3;3;2;2;1;0;3;0;0;3
73;2;1;2;1;0;1;1;0;1;1;2;3;1;0;0;3;0;0;3
74;2;1;2;2;0;1;1;0;1;1;2;3;1;0;0;3;0;0;3
75;0;0;1;0;0;1;0;1;0;0;1;2;1;0;0;2;0;0;3
76;2;1;1;1;0;0;1;0;1;1;2;3;1;0;0;3;0;0;3
77;2;2;2;2;1;0;0;0;1;2;2;2;2;0;0;3;0;0;3
78;0;1;1;1;0;0;0;0;0;0;2;2;2;0;0;1;0;0;3
79;1;3;3;2;1;1;3;1;0;0;1;0;0;0;0;3;0;0;0
80;0;1;1;0;0;0;1;0;3;3;3;0;3;3;0;3;0;0;2
81;3;3;3;3;3;3;0;2;0;0;1;0;2;2;0;1;2;0;0
82;0;0;1;0;0;2;0;0;0;0;1;0;2;0;0;1;0;0;1
83;1;0;1;0;0;0;0;1;3;3;3;1;3;3;0;1;0;0;2
84;1;0;1;0;0;0;1;0;3;3;3;1;3;3;0;2;0;0;2
85;3;3;3;3;2;2;0;2;0;0;1;0;2;0;0;2;0;0;2
86;3;2;3;3;1;2;1;0;1;1;1;2;3;0;0;1;0;0;2
87;0;2;3;2;0;2;0;0;1;3;3;0;2;0;0;2;0;0;3
88;2;1;2;2;0;2;0;1;1;2;3;1;2;0;0;2;0;0;0
89;0;3;2;3;1;1;0;0;0;2;2;0;3;0;0;3;0;0;0
90;0;0;2;2;0;3;2;0;0;0;1;0;3;0;0;3;0;0;0
91;3;3;3;3;2;3;0;3;0;0;1;0;2;0;0;3;3;0;1
92;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;1;2
93;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;1;1;2
94;0;0;1;0;0;2;0;2;1;2;3;1;3;0;0;1;0;0;3
95;1;2;1;2;0;2;0;0;1;2;3;0;1;0;0;0;0;0;2
96;3;2;3;1;1;0;0;0;0;2;2;2;1;0;0;0;0;0;2
97;0;0;1;0;0;0;0;0;0;2;3;1;3;1;0;0;0;0;0
98;3;3;3;3;3;3;0;0;3;3;3;0;3;0;0;3;2;0;0
99;3;3;3;3;2;1;0;0;1;1;3;0;3;0;0;2;0;0;3
100;3;3;3;3;0;1;0;0;1;2;3;0;1;0;0;2;0;0;3
101;3;3;3;3;2;3;0;0;2;2;3;0;1;0;0;2;0;0;2
102;0;0;3;0;0;1;0;0;1;3;3;1;3;0;0;3;0;2;2
103;0;0;3;0;2;2;0;2;0;3;3;2;3;0;0;3;3;2;2
104;1;2;3;0;1;1;0;3;0;0;0;0;0;2;0;3;2;0;0
105;3;2;3;0;1;3;2;3;0;0;0;3;0;1;3;3;2;0;0
106;3;2;3;0;1;3;2;3;0;0;0;3;0;1;3;3;2;0;0
107;0;0;3;0;0;2;0;1;0;0;1;1;3;0;0;3;2;3;0
108;0;0;3;0;0;2;0;1;0;0;1;1;3;0;0;3;2;3;0
109;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;0
110;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;0
111;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;3;0;3;0
112;1;1;2;1;0;0;0;0;1;2;2;2;2;0;0;3;0;0;3
113;1;1;3;1;0;0;0;0;1;2;2;2;2;0;0;3;0;0;3
114;0;0;3;0;0;0;0;0;1;2;3;1;2;0;0;3;0;0;3
115;0;0;2;0;0;0;0;0;0;0;1;1;3;0;0;3;0;0;3
116;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0
117;0;0;3;0;0;0;0;0;0;1;1;0;0;0;0;3;0;0;3
118;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;3;0;3;0
119;0;0;3;0;0;0;0;0;0;0;1;0;3;0;0;3;0;0;3
120;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;3;0;0;3
