GenAspId;Use;ProdPot;EcoPot
1;44;33;23
2;32;44;24
3;25;40;35
4;26;38;36
5;40;38;22
6;26;47;27
7;32;44;24
8;34;39;27
9;44;32;24
10;42;31;27
11;33;41;26
12;29;45;26
13;29;41;30
14;31;40;29
15;39;38;23
16;40;32;28
17;32;34;34
18;33;36;31
19;30;44;26
20;29;46;25
21;28;47;25
22;29;46;25
23;22;51;27
24;26;49;25
25;29;48;23
26;23;51;26
27;41;37;22
28;33;39;28
29;26;40;34
30;46;29;25
31;26;42;32
32;31;38;31
33;33;38;29
34;29;41;30
35;25;37;38
36;25;46;29
37;27;48;25
38;31;47;22
39;34;41;25
40;28;45;27
41;31;43;26
42;36;30;34
43;41;31;28
44;30;42;28
45;35;41;24
46;23;48;29
47;31;41;28
48;23;39;38
49;45;31;24
50;25;41;34
51;37;40;23
52;31;41;28
53;51;30;19
54;27;48;25
55;24;47;29
56;35;40;25
57;33;37;30
58;33;37;30
59;26;39;35
60;22;43;35
61;25;44;31
62;33;39;28
63;31;39;30
64;41;29;30
65;35;33;32
66;31;39;30
67;33;38;29
68;27;42;31
69;37;35;28
70;39;32;29
71;37;35;28
72;34;40;26
73;48;30;22
74;30;42;28
75;35;34;31
76;35;39;26
77;32;39;29
78;50;26;24
79;25;40;35
80;22;46;32
81;26;49;25
82;31;35;34
83;26;47;27
84;24;46;30
85;30;46;24
86;27;46;27
87;27;50;23
88;27;43;30
89;25;45;30
90;32;45;23
91;23;53;24
92;33;32;35
93;34;31;35
94;26;43;31
95;38;37;25
96;28;39;33
97;30;36;34
98;21;52;27
99;26;47;27
100;27;46;27
101;27;51;22
102;36;35;29
103;30;43;27
104;47;29;24
105;39;38;23
106;23;48;29
107;26;42;32
108;26;42;32
109;31;32;37
110;31;32;37
111;33;35;32
112;30;43;27
113;28;43;29
114;25;41;34
115;31;38;31
116;31;31;38
117;30;35;35
118;32;33;35
119;30;36;34
120;33;36;31
