GenAspId;MaUSubs;MaUSelCons;MaUCom;SoUseFo;SoUseFe;SoUseBioconv;SoUseBiocont;SoUsePol;SoUsePet;SoUseCult;SoUseOth;ObtHar;ObtSHar;ObtPro;ContUtNA;ContUtCA;ContUtSA;ContUtAs;ContUtEu;ContUtOc;ContUtAf;MarYN;MarLoc;MarReg;MarNat;MarInt;MarMP;ScLS;ScMS;ScLaS;SocAccCSA;SocAccNA;SocAccAf;SocAccOc;SocAccEu;SocAccAs;LegPunc;LegLeg
1;2;3;3;3;3;1;1;0;0;0;0;0;0;3;3;2;2;3;3;1;1;0;3;3;3;3;Feed;0;2;3;3;3;1;1;3;3;1;Reglamento de Ejecución (UE) 2022/188 de la Comisión de 10 de febrero de 2022 por el que se autoriza la comercialización de las formas congelada, desecada y en polvo de Acheta domesticus como nuevo alimento con arreglo al Reglamento (UE) 2015/2283 del Parlamento Europeo y del Consejo y se modifica el Reglamento de Ejecución (UE) 2017/2470 de la Comisión (Texto pertinente a efectos del EEE)//// Reglamento de Ejecución (UE) 2023/5 de la Comisión de 3 de enero de 2023 por el que se autoriza la comercialización de polvo parcialmente desgrasado de Acheta domesticus (grillo doméstico) como nuevo alimento y se modifica el Reglamento de Ejecución (UE) 2017/2470 (Texto pertinente a efectos del EEE)
2;0;2;2;2;0;0;0;0;0;3;0;3;0;0;0;0;1;0;0;0;0;0;3;2;1;0;Food;0;0;0;3;0;0;0;0;0;0;N.A.
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
5;3;2;3;2;2;1;0;0;0;3;3;0;0;3;2;1;1;3;2;1;1;0;0;0;0;3;Biomolecules;0;2;3;3;3;3;3;3;3;1;Reglamento (CE) nº 1544/2006 del Consejo, de 5 de octubre de 2006, por el que se prevén medidas especiales para favorecer la cría de gusanos de seda (Versión codificada).
6;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Pet;1;0;0;2;1;0;0;1;2;0;N.A.
7;0;1;2;0;0;0;0;0;3;3;0;1;2;2;0;0;0;3;0;0;0;0;0;0;0;2;Pet;1;0;0;2;1;0;0;1;2;0;N.A.
8;2;2;2;1;1;0;0;0;0;0;3;1;1;2;1;1;1;1;1;0;0;0;1;1;1;1;Biomolecules;0;1;2;2;2;0;0;2;3;0;N.A.
9;2;3;3;3;3;1;0;0;0;0;0;0;0;3;2;2;2;3;0;0;0;1;3;3;3;3;Feed;0;1;3;3;3;1;0;3;3;1;Reglamento (UE) 2017/893 de la Comisión de 24 de mayo de 2017 que modifica los anexos I y IV del Reglamento (CE) n.o 999/2001 del Parlamento Europeo y del Consejo y los anexos X, XIV y XV del Reglamento (UE) n.o 142/2011 de la Comisión por lo que se refiere a las disposiciones sobre proteína animal transformada 
10;3;0;3;0;3;3;1;0;0;0;0;0;1;3;2;2;2;2;3;0;0;0;0;0;0;3;Feed;0;3;3;3;3;3;3;3;3;1;Reglamento (UE) 2017/893 de la Comisión de 24 de mayo de 2017 que modifica los anexos I y IV del Reglamento (CE) n.o 999/2001 del Parlamento Europeo y del Consejo y los anexos X, XIV y XV del Reglamento (UE) n.o 142/2011 de la Comisión por lo que se refiere a las disposiciones sobre proteína animal transformada 
11;0;0;2;0;0;0;0;0;3;2;0;1;0;0;1;0;1;2;1;0;0;0;0;0;0;1;Pet;1;0;0;3;1;1;0;1;2;0;N.A.
12;0;0;1;0;0;0;0;0;3;2;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;1;Pet;1;0;0;3;2;0;0;2;2;0;N.A.
13;1;0;2;0;2;3;0;0;0;0;0;0;0;2;1;1;1;1;1;1;1;0;0;0;0;2;Biocontrol;2;2;1;1;1;1;1;1;1;1; Reglamento (UE) 2017/893 de la Comisión de 24 de mayo de 2017 que modifica los anexos I y IV del Reglamento (CE) n.o 999/2001 del Parlamento Europeo y del Consejo y los anexos X, XIV y XV del Reglamento (UE) n.o 142/2011 de la Comisión por lo que se refiere a las disposiciones sobre proteína animal transformada 
14;2;2;1;2;2;0;0;0;0;0;0;3;2;0;0;0;1;0;0;0;0;0;2;1;0;0;Food;1;0;0;2;0;0;0;0;0;0;N.A.
15;3;2;3;3;1;0;0;3;0;0;0;0;0;3;0;2;3;0;0;0;0;0;1;2;3;0;Food;0;3;3;3;0;0;0;0;0;0;N.A.
